Rk,Type,Team,Tm,FGA,3PA,2PA,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Age,Pace,FTr,Dist.,%FG: 2P,%FG: 0-3,%FG: 3-10,%FG: 10-16,%FG: 16-3P,%FG: 3P,%FG: Ast'd: 2P,%FG AST'd: 3P,%FGA Dunk,%3PA Corner,Bench MIN,Bench FGA
3,Regular,23RSAtlanta Hawks*,Atlanta Hawks*,92.4,30.5,61.8,22.6,11.2,33.2,44.4,25,7.1,4.9,12.9,18.8,24.9,100.7,0.244,13.2,0.669,0.25,0.186,0.133,0.091,0.331,0.488,0.755,0.064,0.262,16.7,27.4
4,Regular,23RSBoston Celtics*,Boston Celtics*,88.8,42.6,46.2,21.6,9.7,35.6,45.3,26.7,6.4,5.2,13.4,18.8,27.4,98.5,0.243,15.3,0.52,0.21,0.192,0.063,0.048,0.48,0.509,0.814,0.051,0.223,16.5,24.8
20,Regular,23RSBrooklyn Nets*,Brooklyn Nets*,85.1,33.8,51.3,22.1,8.2,32.3,40.5,25.5,7.1,6.2,13.7,21.1,28,98.3,0.26,14.6,0.603,0.222,0.177,0.122,0.082,0.397,0.525,0.82,0.059,0.243,16.5,27.5
25,Regular,23RSCleveland Cavaliers*,Cleveland Cavaliers*,85.2,31.6,53.6,22.5,9.7,31.4,41.1,24.9,7.1,4.7,13.3,19,25.4,95.7,0.264,13.2,0.629,0.278,0.196,0.092,0.054,0.371,0.545,0.715,0.084,0.238,16.1,23.1
12,Regular,23RSDenver Nuggets*,Denver Nuggets*,86.4,31.2,55.2,22.4,10.1,32.9,43,28.9,7.5,4.5,14.5,18.6,26.6,98.1,0.259,13.2,0.639,0.258,0.213,0.083,0.077,0.361,0.597,0.808,0.08,0.251,17.2,27
2,Regular,23RSGolden State Warriors*,Golden State Warriors*,90.2,43.2,47,20.2,10.5,34.1,44.6,29.8,7.2,3.9,16.3,21.4,27.3,101.6,0.224,16,0.521,0.177,0.21,0.069,0.065,0.479,0.606,0.828,0.056,0.199,17.5,28.4
18,Regular,23RSLos Angeles Clippers*,Los Angeles Clippers*,86.1,33.4,52.7,23.9,9.8,33.4,43.2,23.9,7.1,4.4,14.2,19.5,29.7,98,0.278,14.5,0.613,0.221,0.19,0.11,0.092,0.387,0.467,0.838,0.063,0.249,18.9,31.6
6,Regular,23RSLos Angeles Lakers*,Los Angeles Lakers*,89,31.2,57.8,26.6,10,35.7,45.7,25.3,6.4,4.6,14.1,17.9,27.9,101.3,0.299,13.2,0.649,0.261,0.214,0.095,0.079,0.351,0.502,0.849,0.065,0.238,18.4,31.3
8,Regular,23RSMemphis Grizzlies*,Memphis Grizzlies*,92.1,34.2,57.9,23.8,12,34.6,46.6,26,8.3,5.8,13.6,20,24.4,101.1,0.259,13,0.628,0.273,0.224,0.099,0.033,0.372,0.504,0.837,0.058,0.245,18.4,28.3
30,Regular,23RSMiami Heat*,Miami Heat*,85.3,34.8,50.5,23,9.7,30.9,40.6,23.8,8,3,13.5,18.5,27.7,96.3,0.27,14.5,0.592,0.196,0.217,0.12,0.052,0.408,0.511,0.802,0.046,0.26,16.4,24.7
9,Regular,23RSMilwaukee Bucks*,Milwaukee Bucks*,90.4,40.3,50.1,22.4,11.1,37.5,48.6,25.8,6.4,4.9,14.6,18.1,29.8,100.5,0.248,15.3,0.554,0.236,0.156,0.091,0.071,0.446,0.489,0.819,0.052,0.23,18.7,29.2
13,Regular,23RSMinnesota Timberwolves*,Minnesota Timberwolves*,87.4,33.3,54.1,23.7,9.1,32.8,41.9,26.2,8,5.4,15.3,21.6,25.8,101,0.271,13.2,0.619,0.285,0.208,0.075,0.051,0.381,0.539,0.79,0.067,0.241,16.4,28.4
11,Regular,23RSNew York Knicks*,New York Knicks*,89.4,35.7,53.6,25.5,12.6,34,46.6,22.9,6.4,4.1,13,20.3,24.5,97.1,0.285,13.6,0.6,0.266,0.196,0.096,0.043,0.4,0.428,0.82,0.066,0.272,16.2,24.4
14,Regular,23RSPhiladelphia 76ers*,Philadelphia 76ers*,83.8,32.6,51.2,25.1,8.7,32.2,40.9,25.2,7.7,4.7,13.7,20.4,28.2,96.9,0.3,13.8,0.611,0.251,0.191,0.109,0.054,0.389,0.516,0.806,0.044,0.256,16.6,25.2
17,Regular,23RSPhoenix Suns*,Phoenix Suns*,90.1,32.6,57.5,21.7,11.8,32.4,44.2,27.3,7.1,5.3,13.5,21.2,28.1,98.2,0.241,14.3,0.638,0.194,0.203,0.159,0.083,0.362,0.562,0.856,0.047,0.291,17.8,30.1
1,Regular,23RSSacramento Kings*,Sacramento Kings*,88.2,37.3,50.9,25.1,9.5,32.9,42.5,27.3,7,3.4,13.5,19.7,25.4,100.3,0.284,14.1,0.577,0.243,0.199,0.08,0.05,0.423,0.495,0.875,0.059,0.226,16.9,29.1
6,Regular,22RSAtlanta Hawks*,Atlanta Hawks*,88.3,34.4,53.9,22.3,10.0,33.9,44.0,24.6,7.2,4.2,11.9,18.7,26.1,97.7,0.253,14.5,0.61,0.246,0.164,0.111,0.089,0.39,0.529,0.735,0.06,0.221,17.6,28.5
12,Regular,22RSBoston Celtics*,Boston Celtics*,87.4,37.1,50.3,20.9,10.5,35.5,46.1,24.8,7.2,5.8,13.6,18.5,26.1,96.6,0.239,14.8,0.575,0.218,0.203,0.082,0.073,0.425,0.512,0.813,0.058,0.231,16.3,24.6
9,Regular,22RSBrooklyn Nets*,Brooklyn Nets*,88.4,31.7,56.7,21.7,10.3,34.1,44.4,25.3,7.1,5.5,14.1,20.4,29.1,99,0.246,13.9,0.641,0.245,0.166,0.136,0.094,0.359,0.541,0.764,0.053,0.235,17.6,27.8
13,Regular,22RSChicago Bulls*,Chicago Bulls*,86.9,28.8,58.1,21.5,8.7,33.7,42.3,23.9,7.1,4.1,12.8,18.8,26.3,98.3,0.248,13.8,0.668,0.259,0.151,0.127,0.131,0.332,0.476,0.852,0.05,0.273,15.7,20.9
24,Regular,22RSDallas Mavericks*,Dallas Mavericks*,85.1,37.4,47.8,21.2,9.3,33.8,43.0,23.4,6.7,4.0,12.5,19.7,26.7,95.4,0.249,15.3,0.561,0.206,0.176,0.108,0.071,0.439,0.502,0.783,0.059,0.262,17.3,27.6
10,Regular,22RSDenver Nuggets*,Denver Nuggets*,86.3,35.9,50.4,21.0,9.2,34.9,44.1,27.8,7.2,3.7,14.5,20.0,27.7,97.8,0.244,14.4,0.584,0.236,0.204,0.073,0.071,0.416,0.584,0.857,0.059,0.265,18.1,29.6
15,Regular,22RSGolden State Warriors*,Golden State Warriors*,86.4,39.4,47.0,20.3,9.8,35.7,45.5,27.1,8.8,4.5,14.9,21.0,27.6,98.4,0.235,15.5,0.544,0.205,0.201,0.07,0.068,0.456,0.595,0.804,0.057,0.215,19.6,28.6
2,Regular,22RSMemphis Grizzlies*,Memphis Grizzlies*,94.4,32.7,61.7,23.1,14.1,35.0,49.2,26.0,9.8,6.5,13.2,19.8,24,100.3,0.245,12.9,0.654,0.263,0.235,0.111,0.045,0.346,0.504,0.854,0.056,0.231,19.8,33
17,Regular,22RSMiami Heat*,Miami Heat*,84.8,35.8,49.0,21.4,9.8,33.9,43.7,25.5,7.4,3.2,14.6,20.5,28.2,95.9,0.252,14.9,0.578,0.224,0.182,0.107,0.065,0.422,0.537,0.849,0.049,0.296,17.8,32.1
3,Regular,22RSMilwaukee Bucks*,Milwaukee Bucks*,89.4,38.4,51.0,22.9,10.2,36.5,46.7,23.9,7.6,4.0,13.4,18.2,28.5,99.9,0.257,15.1,0.57,0.236,0.161,0.103,0.07,0.43,0.461,0.789,0.049,0.241,17.4,24.2
1,Regular,22RSMinnesota Timberwolves*,Minnesota Timberwolves*,91.0,41.3,49.7,23.1,11.2,32.9,44.2,25.7,8.8,5.6,14.3,21.8,24.2,100.9,0.254,14.5,0.546,0.267,0.173,0.059,0.047,0.454,0.519,0.797,0.066,0.223,18.4,31.3
21,Regular,22RSNew Orleans Pelicans*,New Orleans Pelicans*,88.0,32.1,55.9,23.2,12.0,33.2,45.2,25.0,8.3,4.0,14.1,19.7,25.6,97.2,0.264,13.6,0.635,0.266,0.189,0.1,0.081,0.365,0.531,0.873,0.055,0.24,17.2,28.6
18,Regular,22RSPhiladelphia 76ers*,Philadelphia 76ers*,84.5,31.8,52.7,23.8,8.5,33.8,42.3,23.7,7.7,5.3,12.5,19.4,26.8,96.2,0.282,14,0.624,0.24,0.194,0.119,0.071,0.376,0.505,0.835,0.05,0.244,15.5,23.4
5,Regular,22RSPhoenix Suns*,Phoenix Suns*,90.1,31.9,58.2,19.9,9.8,35.5,45.3,27.4,8.6,4.4,12.9,19.9,27.5,99.8,0.221,14.2,0.646,0.188,0.222,0.149,0.088,0.354,0.552,0.832,0.053,0.26,16.7,29.3
20,Regular,22RSToronto Raptors*,Toronto Raptors*,91.3,34.2,57.1,21.3,13.4,32.0,45.3,22.1,9.0,4.6,12.5,19.6,24.8,96,0.234,14.3,0.625,0.225,0.209,0.097,0.095,0.375,0.434,0.804,0.055,0.24,14.4,22.3
7,Regular,22RSUtah Jazz*,Utah Jazz*,86.2,40.3,45.8,23.4,10.8,35.6,46.3,22.4,7.2,4.9,14.0,18.9,29.3,97.1,0.271,15.1,0.532,0.203,0.235,0.066,0.029,0.468,0.454,0.727,0.07,0.242,17.4,31.3
13,Regular,21RSPAtlanta Hawks*,Atlanta Hawks*,87.2,33.4,53.9,24.2,10.6,35.1,45.6,24.1,7.0,4.8,13.2,19.3,25.4,97.6,0.278,13.9,0.618,0.26,0.178,0.119,0.061,0.382,0.504,0.791,0.065,0.207,17.3,27.5
16,Regular,21RSPBoston Celtics*,Boston Celtics*,88.9,36.4,52.5,20.8,10.6,33.6,44.3,23.5,7.7,5.3,14.1,20.4,25.1,98.3,0.234,14.7,0.591,0.218,0.208,0.094,0.071,0.409,0.478,0.746,0.054,0.191,18,24.7
2,Regular,21RSPBrooklyn Nets*,Brooklyn Nets*,87.3,36.1,51.2,22.5,8.9,35.5,44.4,26.8,6.7,5.3,13.5,19.0,28.2,99.5,0.258,14.1,0.587,0.271,0.164,0.097,0.055,0.413,0.536,0.795,0.062,0.22,18,28.2
17,Regular,21RSPDallas Mavericks*,Dallas Mavericks*,87.3,38.1,49.2,21.2,9.1,34.2,43.3,22.9,6.3,4.3,12.1,19.4,26.3,97.3,0.242,15.3,0.564,0.23,0.152,0.111,0.071,0.436,0.445,0.778,0.055,0.208,17.7,29.3
8,Regular,21RSPDenver Nuggets*,Denver Nuggets*,89.2,34.2,55.0,19.5,10.5,33.9,44.4,26.8,8.1,4.5,13.5,19.1,26.1,97.1,0.219,14.1,0.617,0.226,0.215,0.095,0.081,0.383,0.523,0.851,0.051,0.219,17.4,27.2
10,Regular,21RSPLos Angeles Clippers*,Los Angeles Clippers*,86.7,34.7,52.0,19.3,9.4,34.7,44.2,24.4,7.1,4.1,13.2,19.2,28.8,96.9,0.222,14.8,0.6,0.219,0.164,0.121,0.095,0.4,0.454,0.834,0.06,0.271,19.1,30.6
22,Regular,21RSPLos Angeles Lakers*,Los Angeles Lakers*,86.1,31.2,54.8,23.3,9.7,34.6,44.2,24.7,7.8,5.4,15.2,19.1,28.2,98.7,0.271,13.5,0.637,0.288,0.167,0.105,0.077,0.363,0.506,0.877,0.065,0.25,19.7,31.4
15,Regular,21RSPMemphis Grizzlies*,Memphis Grizzlies*,91.8,31.4,60.4,21.3,11.2,35.3,46.5,26.9,9.1,5.1,13.3,18.7,24.2,100.4,0.232,13,0.658,0.251,0.221,0.141,0.046,0.342,0.543,0.872,0.051,0.258,19.6,32.2
25,Regular,21RSPMiami Heat*,Miami Heat*,83.7,36.2,47.5,21.1,8.0,33.5,41.5,26.3,7.9,4.0,14.1,18.9,27.4,96.6,0.252,14.8,0.568,0.247,0.161,0.096,0.064,0.432,0.562,0.893,0.057,0.239,17.6,28.6
1,Regular,21RSPMilwaukee Bucks*,Milwaukee Bucks*,91.8,37.1,54.7,21.4,10.3,37.8,48.1,25.5,8.1,4.6,13.8,17.3,28.1,102.2,0.233,14.6,0.596,0.255,0.155,0.104,0.082,0.404,0.468,0.782,0.059,0.211,17.8,28
26,Regular,21RSPNew York Knicks*,New York Knicks*,86.5,30.0,56.4,20.9,9.7,35.5,45.1,21.4,7.0,5.1,12.9,20.5,25.6,95.9,0.242,13.5,0.653,0.254,0.19,0.118,0.091,0.347,0.416,0.842,0.054,0.283,17.6,30.1
14,Regular,21RSPPhiladelphia 76ers*,Philadelphia 76ers*,86.9,30.1,56.8,25.5,10.0,35.0,45.1,23.7,9.1,6.2,14.4,20.2,27.1,99.5,0.293,13.7,0.653,0.241,0.203,0.117,0.092,0.347,0.452,0.894,0.056,0.261,18.6,31
7,Regular,21RSPPhoenix Suns*,Phoenix Suns*,88.3,34.6,53.7,18.7,8.8,34.2,42.9,26.9,7.2,4.3,12.5,19.1,26.6,97.2,0.212,14.9,0.608,0.211,0.158,0.148,0.091,0.392,0.524,0.849,0.039,0.265,17.6,30
5,Regular,21RSPPortland Trail Blazers*,Portland Trail Blazers*,91.1,40.8,50.3,21.6,10.6,33.9,44.5,21.3,6.9,5.0,11.1,18.9,27.4,98.4,0.238,15.6,0.552,0.244,0.133,0.085,0.089,0.448,0.405,0.693,0.033,0.159,16.5,28.9
4,Regular,21RSPUtah Jazz*,Utah Jazz*,88.1,43.0,45.1,21.5,10.6,37.6,48.3,23.7,6.6,5.2,14.2,18.5,28.5,98.5,0.244,15.5,0.512,0.207,0.201,0.069,0.035,0.488,0.444,0.763,0.058,0.254,17.2,31.5
3,Regular,21RSPWashington Wizards*,Washington Wizards*,90.9,29.0,61.9,26.2,9.7,35.5,45.2,25.5,7.3,4.1,14.4,21.6,26.6,104.1,0.288,13.6,0.681,0.199,0.268,0.101,0.114,0.319,0.501,0.88,0.055,0.231,20,30.1
9,Regular,20RSBoston Celtics*,Boston Celtics*,89.6,34.5,55,23.2,10.7,35.4,46.1,23,8.3,5.6,13.8,21.6,25.3,99.5,0.259,13.9,0.614,0.276,0.173,0.094,0.071,0.386,0.491,0.707,0.053,0.181,17.2,23
17,Regular,20RSBrooklyn Nets*,Brooklyn Nets*,90.3,38.1,52.1,24.1,10.6,37.3,47.9,24.5,6.4,4.5,15.3,21,26.3,101.4,0.267,13.8,0.577,0.315,0.15,0.07,0.042,0.423,0.518,0.789,0.068,0.213,18.8,30.1
3,Regular,20RSDallas Mavericks*,Dallas Mavericks*,90.3,41.3,49,23.8,10.5,36.4,46.9,24.7,6.1,4.8,12.7,19.5,26.1,99.3,0.264,15.2,0.543,0.245,0.162,0.082,0.053,0.457,0.483,0.783,0.054,0.204,18.8,31.3
18,Regular,20RSDenver Nuggets*,Denver Nuggets*,88.9,30.6,58.3,20.9,10.8,33.4,44.1,26.7,8,4.6,13.8,20.3,25.6,97.1,0.235,13.3,0.656,0.278,0.18,0.105,0.092,0.344,0.56,0.853,0.056,0.208,17.9,30.3
2,Regular,20RSHouston Rockets*,Houston Rockets*,90.4,45.3,45.2,26.1,9.8,34.5,44.3,21.6,8.7,5.2,14.7,21.8,29.2,103.7,0.288,15.2,0.499,0.297,0.126,0.04,0.036,0.501,0.43,0.692,0.05,0.245,15.1,23.6
23,Regular,20RSIndiana Pacers*,Indiana Pacers*,88.5,28,60.4,19.1,8.7,34.1,42.8,25.9,7.4,5.2,13.2,19.8,25.6,98.9,0.216,13.3,0.683,0.298,0.151,0.119,0.116,0.317,0.533,0.867,0.037,0.232,17.5,28.9
4,Regular,20RSLos Angeles Clippers*,Los Angeles Clippers*,89.2,33.5,55.8,26.3,10.7,37,47.7,23.7,7.1,4.7,14.6,22.1,27.4,101.5,0.295,13.8,0.625,0.272,0.167,0.104,0.081,0.375,0.465,0.818,0.067,0.25,22.1,38.8
11,Regular,20RSLos Angeles Lakers*,Los Angeles Lakers*,88.3,31.6,56.7,24.3,10.7,35.1,45.7,25.4,8.6,6.6,15.2,20.7,29.5,100.9,0.276,13.4,0.642,0.315,0.147,0.084,0.097,0.358,0.518,0.831,0.091,0.26,21,32.3
15,Regular,20RSMiami Heat*,Miami Heat*,84.4,35.4,49,25.2,8.5,35.9,44.4,25.9,7.5,4.5,14.9,20.6,25.9,98.3,0.299,14.7,0.581,0.255,0.159,0.09,0.077,0.419,0.558,0.849,0.073,0.231,19,32.5
1,Regular,20RSMilwaukee Bucks*,Milwaukee Bucks*,90.9,38.9,52,24.7,9.5,42.2,51.7,25.9,7.2,5.9,15.1,19.6,29.2,105.1,0.271,14.6,0.572,0.284,0.141,0.082,0.064,0.428,0.498,0.811,0.057,0.204,20.9,32.2
21,Regular,20RSOklahoma City Thunder*,Oklahoma City Thunder*,85.5,30.2,55.3,24.8,8.2,34.7,42.9,21.7,7.6,4.9,13.7,19.3,25.5,98.8,0.29,13.8,0.647,0.26,0.173,0.128,0.087,0.353,0.457,0.778,0.061,0.195,19,33
24,Regular,20RSOrlando Magic*,Orlando Magic*,88.6,32.2,56.4,22.7,10.3,34.2,44.5,23.9,8.2,5.4,12.8,18.3,26.1,98.6,0.256,14.2,0.636,0.252,0.169,0.121,0.095,0.364,0.511,0.859,0.052,0.142,18.4,31.6
20,Regular,20RSPhiladelphia 76ers*,Philadelphia 76ers*,87.9,31.6,56.3,22.4,10.5,35,45.4,25.8,8,5.3,14.2,20.9,26.3,99,0.255,13.8,0.64,0.266,0.173,0.114,0.087,0.36,0.516,0.913,0.056,0.193,17.1,26.7
6,Regular,20RSPortland Trail Blazers*,Portland Trail Blazers*,91.2,34.1,57.1,22.1,10.2,35.1,45.3,20.6,6.3,6.1,12.8,21.7,27.5,100.7,0.242,14.3,0.626,0.272,0.139,0.117,0.097,0.374,0.409,0.669,0.047,0.185,15.2,22.3
13,Regular,20RSToronto Raptors*,Toronto Raptors*,87.9,37,50.9,23.2,9.5,35.9,45.4,25.2,8.8,5,14.8,21.7,26.6,100.9,0.264,14,0.579,0.311,0.155,0.056,0.058,0.421,0.53,0.811,0.054,0.217,15.9,26.5
19,Regular,20RSUtah Jazz*,Utah Jazz*,85.1,35.2,49.9,22.8,9.1,35.8,44.9,22.4,6.1,4.1,15.1,20.4,27.3,98.6,0.268,14.1,0.586,0.256,0.196,0.087,0.048,0.414,0.452,0.775,0.064,0.249,16.2,27.5
14,Regular,19RSBoston Celtics*,Boston Celtics*,90.5,34.5,56.02439024,19.48780488,9.804878049,34.74390244,44.54878049,26.2804878,8.609756098,5.304878049,12.82926829,20.36585366,25.7,99.6,0.215,14.5,0.619,0.248,0.147,0.114,0.109,0.381,0.527,0.854,0.051,0.196,18.9,31.4
15,Regular,19RSBrooklyn Nets*,Brooklyn Nets*,89.7,36.15853659,53.57317073,25.46341463,10.97560976,35.59756098,46.57317073,23.82926829,6.573170732,4.134146341,15.07317073,21.5,25.4,100.8,0.284,13.7,0.597,0.299,0.166,0.084,0.048,0.403,0.508,0.774,0.051,0.185,21.4,37.3
20,Regular,19RSDenver Nuggets*,Denver Nuggets*,90.0,31.35365854,58.69512195,20.90243902,11.85365854,34.53658537,46.3902439,27.37804878,7.731707317,4.426829268,13.43902439,20.04878049,24.9,97.7,0.232,13.1,0.652,0.277,0.203,0.101,0.07,0.348,0.571,0.883,0.053,0.183,19.4,35.6
25,Regular,19RSDetroit Pistons*,Detroit Pistons*,88.3,34.80487805,53.46341463,23.08536585,11.41463415,33.56097561,44.97560976,22.5,6.93902439,4.036585366,13.84146341,22.08536585,26.9,97.4,0.262,14,0.606,0.263,0.197,0.074,0.073,0.394,0.465,0.831,0.044,0.252,19.4,31.4
2,Regular,19RSGolden State Warriors*,Golden State Warriors*,89.8,34.43902439,55.32926829,20.3902439,9.719512195,36.46341463,46.18292683,29.42682927,7.62195122,6.402439024,14.25609756,21.42682927,28.4,100.9,0.227,15.2,0.616,0.25,0.107,0.121,0.138,0.384,0.61,0.803,0.074,0.195,17.8,24
11,Regular,19RSHouston Rockets*,Houston Rockets*,87.4,45.37804878,41.97560976,24.40243902,10.19512195,31.86585366,42.06097561,21.23170732,8.536585366,4.93902439,13.34146341,21.98780488,29.2,97.9,0.279,15.6,0.481,0.261,0.145,0.05,0.025,0.519,0.482,0.626,0.06,0.242,15.2,23.5
22,Regular,19RSIndiana Pacers*,Indiana Pacers*,87.0,25.37804878,61.63414634,21.06097561,9.292682927,33.73170732,43.02439024,25.95121951,8.695121951,4.926829268,13.68292683,19.43902439,27,98.1,0.242,12.9,0.708,0.311,0.158,0.086,0.152,0.292,0.557,0.864,0.035,0.229,18.3,32.2
5,Regular,19RSLos Angeles Clippers*,Los Angeles Clippers*,87.5,25.82926829,61.70731707,28.53658537,9.707317073,35.80487805,45.51219512,24.02439024,6.841463415,4.695121951,14.54878049,23.32926829,27.2,101.7,0.326,12.4,0.705,0.312,0.182,0.113,0.098,0.295,0.497,0.849,0.063,0.21,20.9,40
1,Regular,19RSMilwaukee Bucks*,Milwaukee Bucks*,91.1,38.2195122,52.8902439,23.2195122,9.292682927,40.43902439,49.73170732,26.04878049,7.5,5.926829268,13.86585366,19.6097561,26.9,103.3,0.255,13.9,0.581,0.34,0.122,0.066,0.053,0.419,0.5,0.825,0.073,0.195,18.3,26.9
7,Regular,19RSOklahoma City Thunder*,Oklahoma City Thunder*,94.0,32.64634146,61.32926829,24.98780488,12.57317073,35.5,48.07317073,23.37804878,9.341463415,5.182926829,13.96341463,22.42682927,25.7,102.8,0.266,12.9,0.653,0.339,0.132,0.102,0.08,0.347,0.451,0.814,0.068,0.256,15.7,27.1
24,Regular,19RSOrlando Magic*,Orlando Magic*,89.1,32.1097561,57,19.20731707,10.02439024,35.3902439,45.41463415,25.54878049,6.62195122,5.426829268,13.19512195,18.6097561,25.7,98.1,0.216,14.4,0.64,0.246,0.161,0.104,0.128,0.36,0.553,0.832,0.053,0.191,18.4,30.4
4,Regular,19RSPhiladelphia 76ers*,Philadelphia 76ers*,88.2,30.17073171,58.03658537,27.53658537,10.87804878,36.8902439,47.76829268,26.91463415,7.390243902,5.268292683,14.91463415,21.2804878,26.4,101.6,0.312,13.5,0.658,0.285,0.166,0.105,0.101,0.342,0.546,0.937,0.064,0.178,16.8,26.1
